x,y,z
-1.792799949645996094e+01,-9.106401443481445312e+00,-1.468007445335388184e+00
-1.792799949645996094e+01,-9.014051437377929688e+00,-1.520185589790344238e+00
-1.792799949645996094e+01,-9.070912361145019531e+00,-1.465383887290954590e+00
-1.800000000000000000e+01,-8.985448837280273438e+00,-1.496079802513122559e+00
-1.792799949645996094e+01,-8.945405006408691406e+00,-1.501679301261901855e+00
-1.792799949645996094e+01,-8.850607872009277344e+00,-1.543666005134582520e+00
-1.792799949645996094e+01,-8.789863586425781250e+00,-1.591526627540588379e+00
-1.792799949645996094e+01,-8.700434684753417969e+00,-1.607046008110046387e+00
-1.792799949645996094e+01,-8.649762153625488281e+00,-1.624893307685852051e+00
-1.792799949645996094e+01,-8.506272315979003906e+00,-1.650225996971130371e+00
-1.792799949645996094e+01,-8.421604156494140625e+00,-1.640123009681701660e+00
-1.792799949645996094e+01,-8.302272796630859375e+00,-1.684941649436950684e+00
-1.792799949645996094e+01,-8.229064941406250000e+00,-1.647404551506042480e+00
-1.792799949645996094e+01,-8.134615898132324219e+00,-1.641110301017761230e+00
-1.792799949645996094e+01,-8.018503189086914062e+00,-1.661610722541809082e+00
-1.792799949645996094e+01,-7.949388980865478516e+00,-1.684561133384704590e+00
-1.792799949645996094e+01,-7.836242675781250000e+00,-1.690158247947692871e+00
-1.792799949645996094e+01,-7.729772567749023438e+00,-1.681622385978698730e+00
-1.792799949645996094e+01,-7.626784801483154297e+00,-1.664345145225524902e+00
-1.800000000000000000e+01,-7.588596343994140625e+00,-1.709792971611022949e+00
-1.792799949645996094e+01,-7.541271686553955078e+00,-1.693693995475769043e+00
-1.792799949645996094e+01,-7.415753364562988281e+00,-1.693493008613586426e+00
-1.800000000000000000e+01,-7.354107856750488281e+00,-1.689911007881164551e+00
-1.800000000000000000e+01,-7.223524093627929688e+00,-1.686022162437438965e+00
-1.800000000000000000e+01,-7.190041542053222656e+00,-1.720343470573425293e+00
-1.792799949645996094e+01,-1.200133705139160156e+01,-8.914673924446105957e-01
-1.792799949645996094e+01,-1.001347160339355469e+01,-1.018423914909362793e+00
-1.792799949645996094e+01,-7.204123497009277344e+00,-1.705908894538879395e+00
-1.792799949645996094e+01,-7.158638000488281250e+00,-1.681363224983215332e+00
-1.800000000000000000e+01,-1.151164340972900391e+01,-8.831623196601867676e-01
-1.792799949645996094e+01,-1.120761489868164062e+01,-9.217279553413391113e-01
-1.792799949645996094e+01,-1.016533946990966797e+01,-8.921597599983215332e-01
-1.800000000000000000e+01,-9.789779663085937500e+00,-1.099687457084655762e+00
-1.792799949645996094e+01,-9.426222801208496094e+00,-1.303668856620788574e+00
-1.800000000000000000e+01,-7.469510078430175781e+00,-1.704559445381164551e+00
-1.800000000000000000e+01,-1.176888465881347656e+01,-8.930347561836242676e-01
-1.792799949645996094e+01,-1.051614570617675781e+01,-9.383824467658996582e-01
-1.800000000000000000e+01,-8.824593544006347656e+00,-1.604858040809631348e+00
-1.792799949645996094e+01,-7.313317298889160156e+00,-1.733846306800842285e+00
-1.800000000000000000e+01,-1.100199317932128906e+01,-9.066320061683654785e-01
-1.800000000000000000e+01,-8.622624397277832031e+00,-1.593579411506652832e+00
-1.792799949645996094e+01,-7.767369747161865234e+00,-1.706558823585510254e+00
-1.792799949645996094e+01,-7.642377376556396484e+00,-1.717305302619934082e+00
-1.800000000000000000e+01,-1.116226387023925781e+01,-9.018905758857727051e-01
-1.800000000000000000e+01,-1.071887207031250000e+01,-7.941687703132629395e-01
-1.780441856384277344e+01,-1.203726959228515625e+01,-8.772702813148498535e-01
-1.780441856384277344e+01,-1.201965618133544922e+01,-9.102454781532287598e-01
-1.783784675598144531e+01,-1.195326042175292969e+01,-8.923683762550354004e-01
-1.788680076599121094e+01,-1.181287670135498047e+01,-8.922088742256164551e-01
-1.780441856384277344e+01,-1.183694267272949219e+01,-9.194520115852355957e-01
-1.780441856384277344e+01,-1.172120094299316406e+01,-9.405990242958068848e-01
-1.780441856384277344e+01,-1.162860107421875000e+01,-9.310234189033508301e-01
-1.780441856384277344e+01,-1.153466606140136719e+01,-9.142814278602600098e-01
-1.780441856384277344e+01,-1.141324138641357422e+01,-9.063015580177307129e-01
-1.780441856384277344e+01,-1.136693668365478516e+01,-8.926284909248352051e-01
-1.780441856384277344e+01,-1.130080413818359375e+01,-9.021216034889221191e-01
-1.780441856384277344e+01,-1.124160003662109375e+01,-8.632972836494445801e-01
-1.780441856384277344e+01,-1.112386226654052734e+01,-8.927097916603088379e-01
-1.780441856384277344e+01,-1.102425575256347656e+01,-8.876395821571350098e-01
-1.780441856384277344e+01,-1.091283226013183594e+01,-8.477786183357238770e-01
-1.780441856384277344e+01,-1.082611179351806641e+01,-8.519857525825500488e-01
-1.780441856384277344e+01,-1.070668983459472656e+01,-8.369393944740295410e-01
-1.780441856384277344e+01,-1.061397933959960938e+01,-8.925443291664123535e-01
-1.788680076599121094e+01,-1.061845016479492188e+01,-9.074915051460266113e-01
-1.780441856384277344e+01,-1.058536434173583984e+01,-8.888466954231262207e-01
-1.780441856384277344e+01,-1.051178359985351562e+01,-9.206474423408508301e-01
-1.780441856384277344e+01,-1.041796875000000000e+01,-9.934244751930236816e-01
